ID,Label,Label_latin,Label_untreated,Name,Collective,Name_alternative,Honorific,Family_name,Family_name_alternative,Connector2,Surname,Surname_alternative,Senior/Junior,Alias,Origin_or_residence,Origin,Residence,Sex,Sex_guessing_hits,Sex_guessing_trace,Heretic,Order,Occupation/office,Occupation_general,Occupation_type,Occupation_guess_rank,Occupation_guess,Fugitive,Network,Relations,Footnotes,Notes,Pages_or_folios,Pages_introduction,Pages_footnotes,Original_entry_untreated_parts,Original_entry_complete,Entry_main_editor
449,Bruna of Palajac,Bruna de Palaiaco,Bruna of Palajac,Bruna,,,,,,of,Palajac,,,,,,,f,ffff,latin_guess1 en_guess1 gender_role1 (maid) gender_role1 (maidservant),no,,maidservant,maidservant,servant,100,"{u'maidservant': [[100, u'maidservant', u'maidservant', u'servant'], [78, u'maidservant', u'servant', u'servant'], [63, u'maidservant', u'merchant', u'merchant']]}",,,,,,XXVI:41r,,,,"Bruna of Palajac [Bruna de Palaiaco], maidservant, 41r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
450,Brunissen,Brunissendis,Brunissen,Brunissen,,,lady,,,,,,,,,,,f,fff,english_names1(Brunissen) latin_guess1 gender_role1 (lady),no,,,,,,,,,,,,"XXV:193r, XXV:193v",,,,"Brunissen [Brunissendis], lady, 193r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
451,Brunissen Papier,"Brunissendis, uxor Arnaldi Paperii","Brunissen, wife of Arnold Papier",Brunissen,,,,Papier,,,,,,,,,,f,ff,english_names1(Brunissen) gender_role1 (wife),no,,,,,,,,,,,,"XXV:313v, XXV:314r",,,,"Brunissen, wife of Arnold Papier [Brunissendis, uxor Arnaldi Paperii], 313v–314r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
452,Cabanès,Cabanesius,Cabanès,Cabanès,,,,,,,,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,XXVI:29r,,,,"Cabanès [Cabanesius], 29r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
453,Cale Faure,Cale Faber de Sancto Paulo Cadaiovis,Cale Faure of Saint-Paul-Cap-de-Joux,Cale,,,,Faure,,of,Saint-Paul-Cap-de-Joux,,,,Saint-Paul-Cap-de-Joux,,,m,,,no,,,,,,,,,,,,"XXV:119r, XXV:119v",,,,"Cale Faure of Saint-Paul-Cap-de-Joux [Cale Faber de Sancto Paulo Cadaiovis], 119r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
454,Calvet,,Calvet,Calvet,,,,,,,,,,,,,Saint-Paul-Cap-de-Joux,m,,,no,,,,,,,,d,,,"Leper, hereticated outside Saint-Paul-Cap-de-Joux",,,,,"Calvet, 283r n. 13",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
455,Canalar of Les Cassés,Canalar/Cabalar dels Cassers,Canalar of Les Cassés,Canalar,,,,,,of,Les Cassés,,,,,,,m,m,english_names1(Canalar),no,,,,,,,,,,,,"XXV:305r, XXV:305v, XXV:324r",,,,"Canalar of Les Cassés [Canalar/Cabalar dels Cassers], 305r–v, 324r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
456,Castel,Castellus,Castel,Castel,,,,,,,,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,XXV:280r,,,,"Castel [Castellus], 280r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
457,Castillon,Castillionus,Castillon,Castillon,,,,,,,,,,,,,,m,m,latin_guess1,no,Cistercian monk,syndic of the monastery of Boulbonne,syndic of the monastery,churchperson,78,"{u'syndic of the monastery of Boulbonne': [[78, u'syndic of the monastery of Boulbonne', u'syndic of the monastery', u'churchperson']]}",,i,,,,XXV:37v,,,syndic of the monastery of Boulbonne,"Castillon [Castillionus], Cistercian monk, syndic of the monastery of Boulbonne, 37v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
458,Castlar,Castlar/Castlarius,Castlar,Castlar,,,,,,,,,,,,,,m,m,latin_guess1,h,,,,,,,,,,,,"XXV:269r, XXV:269v, XXV:270r, XXV:270v",,,,"Castlar [Castlar/Castlarius], H, 269r–v, 270r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
459,Catalana,Cathalana,Catalana,Catalana,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:18r, XXV:18v",,,,"Catalana [Cathalana], 18r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
460,Cerdana Amiel,Cerdana uxor Isarni Amelii de Blanno,"Cerdana, wife of Isarn Amiel of Blan",Cerdana,,,,Amiel,,of,Blan,,,,,,,f,fff,latin_guess1 en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:32r,,,,"Cerdana, wife of Isarn Amiel of Blan [Cerdana uxor Isarni Amelii de Blanno], 32r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
461,(chaplain of Viviers),capellanus de Viveriis,chaplain of Viviers,,,,,,,,,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,XXV:93r,,,,"chaplain of Viviers [capellanus de Viveriis], 93r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
462,Charles I of Anjou,Karolus,Charles (I of Anjou),Charles,,,,,,of,Anjou),,,,,,,m,m,latin_guess1,no,,"king of Naples and Sicily, count of Provence","king, count",knight/noble,,first word,,u,,,"First mention is about his land, but the second is about two sons of Pons Raymond of Beauville who are with king Charles - direct contact. I put him in the ""u"" network.","XXV:45v, XXV:195v",,,,"Charles (I of Anjou) [Karolus], king of Naples and Sicily, count of Provence, 44; 45v, 195v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
463,Chaus of Frontorge,Chaus de Frontorgue,Chaus of Frontorge,Chaus,,,,,,of,Frontorge,,,,,,,m,mm,latin_guess1 en_guess1,h,,nobleman,nobleman,knight/noble,100,"{u'nobleman': [[100, u'nobleman', u'nobleman', u'knight/noble'], [77, u'nobleman', u'noble', u'knight/noble']]}",,,,,,XXV:137v,,,,"Chaus of Frontorge [Chaus de Frontorgue], nobleman, H, 137v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
464,"(a cleric, son of master Peter of Sorèze)",quidam clericus filius magistri Petri Petrarii/Latomi de Soricino,"a cleric, son of master Peter (the) mason of Sorèze, cleric",,,,,Peter,,,,,,,,,,m,m,gender_role1(son),no,,cleric,cleric,free profession,100,"{u'cleric': [[100, u'cleric', u'cleric', u'free profession'], [67, u'cleric', u'cutler', u'craftsman'], [62, u'cleric', u'cobbler', u'craftsman']]}",,,,,,"XXVI:43v, XXVI:44v",,,,"a cleric, son of master Peter (the) mason of Sorèze, cleric [quidam clericus filius magistri Petri Petrarii/Latomi de Soricino], 43v, 44v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
465,Comtors from Carcassès,Comtors de Carcassesio,Comtors from Carcassès,Comtors,,,,,,,,,,,,,,f,,,no,,,,,,,fugitive,d,loverofID_??? (Dominic of Dry Elm Street),,,XXV:299v,,,,"Comtors from Carcassès [Comtors de Carcassesio], fugitive, 299v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
466,Conradin,,Conradin,Conradin,,,,,,,,,,,,,,m,,,no,,king of Germany,king,knight/noble,,first word,,o,,,,,,,Jerusalem and Sicily,"Conradin, king of Germany, Jerusalem and Sicily, 143r n. 11",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
467,Constantine of L’Estelle,Constantinus de Estella,Constantine of L’Estelle,Constantine,,,,,,of,L’Estelle,,,,,,,m,m,latin_guess1,no,,,,,,,,i,,,,"XXV:95v, XXV:128r, XXV:137v, XXV:139r, XXV:139v, XXV:153r, XXV:165v, XXV:170r",,,,"Constantine of L’Estelle [Constantinus de Estella], 109, 115; 95v, 128r, 137v, 139r–v, 153r, 165v, 170r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
468,Coument,Coument,Coument,Coument,,,,,,,,,,,,,,f,,,no,,,,,,,,d,"daughterofID_??? (William Taravel), daughterofID??? (Blanca Taravel)",N24 Perhaps the same as Covinenz ID_469.,,XXVI:68r,,,,"Coument [Coument],{N24 Perhaps the same as Covinenz.} <68r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
469,Covinenz,,Covinenz,Covinenz,,,,,,,,,,,,,,f,,,no,,,,,,,,d,,,"Seen in the company of heretics in Saint-Germier around 1243: ms. 609, 174r. Perhaps the same as Coument ID_468.",,,,,"Covinenz, <68r n. 23>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
470,Crastos,Crastos,Crastos,Crastos,,,,,,,,,,,,,,m,,,h,,,,,,,,d,,,,XXVI:75r,,,,"Crastos [Crastos], H, <75r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
471,Creiss (of Cuneo),Creiss (de Coni),Creiss (of Cuneo),Creiss,,,,,,,,,,,,,,m,m,latin_names1(Creiss),no,,,,,,,,,,,,XXV:329r,,,,"Creiss (of Cuneo) [Creiss (de Coni)], 329r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
472,Cumiès,quidam cognominatus de Cutmerio,"Cumiès, surnamed of",,,,,,,of,Cumiès,,,,,,,m,,,h,,,,,,,,,,,,XXV:311v,,,surnamed of,"Cumiès, surnamed of [quidam cognominatus de Cutmerio], H, 311v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
473,Cunhadeta,Cunhadeta de Villanova,Cunhadeta of Villeneuve,Cunhadeta,,,,,,,,,,,Villeneuve,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,d,,,,XXVI:74v,,,,"Cunhadeta of Villeneuve [Cunhadeta de Villanova], <74v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
474,Cunhata Pons,Cunhata de Villanova,Cunhata of Villeneuve,Cunhata,,,,,,,,,,,Villeneuve,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,d,motherofID_473,,,XXVI:74v,,,,"Cunhata of Villeneuve [Cunhata de Villanova], <74v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
475,Daide (Faure),Daide (Fabri),Daide (Faure),Daide,,,,,,,,,,,,,,m,,,no,OP,,,churchperson,,,,i,,,"Network: XXV:41v ""i"", XXV:207v and XXV:208r slightly ""d"" because there he is credited for a slightly heretical saying.","XXV:41v, XXV:207v, XXV:208r",,,,"Daide (Faure) [Daide (Fabri)], OP, 41v, 41v n. 9, 207v–208r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
476,Daide of Bras,"Deide/Deodatus de Bras/Brass de Villafranca, diocesis Ruthenensis","Daide of Bras, of Villefranche of the diocese of Rodez",Daide,,,,,,of,Bras,,,,Villefranche,,,m,m,latin_guess1,no,,merchant,merchant,merchant,100,"{u'merchant': [[100, u'merchant', u'merchant', u'merchant'], [67, u'merchant', u'servant', u'servant'], [63, u'merchant', u'maidservant', u'servant']]}",,,,,,"XXV:4r, XXV:7v, XXV:8v, XXV:189v, XXV:191v",,,of Villefranche of the diocese of Rodez,"Daide of Bras, of Villefranche of the diocese of Rodez [Deide/Deodatus de Bras/Brass de Villafranca, diocesis Ruthenensis], merchant, 95 n. 158; 4r, 7v, 8v, 189v, 191v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
477,Daide Roque,Deodatus Roca,Daide Roque,Daide,,,,Roque,,,,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,XXV:62v,,,,"Daide Roque [Deodatus Roca], 62v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
478,Daurde,Daurde,Daurde,Daurde,,,,,,,,,,,,,,m,,,no,OP,,,churchperson,,,,i,,,,XXV:151r,,,,"Daurde [Daurde], OP, 106 n. 218; 151r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
479,Descalquencs family,,Descalquencs,Descalquencs,y,,,,,,,,,,,,,,,,no,,,,,,,,o,,,,,,,,"Descalquencs, family, 199v n. 17",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
480,Dias,"Dias, uxor vel concubina Pontii de Sancto Germerio/Dias de Sancto Germerio","Dias, wife or concubine of Pons of Saint-Germier/of Saint-Germier",Dias,,,,,,,,,,,,,,f,ff,gender_role1 (concubine) gender_role1 (wife),h,,,,,,,,,,,,"XXVI:63v, XXVI:64v, XXVI:67r, XXVI:69r",,,wife or concubine of Pons of Saint-Germier/of Saint-Germier,"Dias, wife or concubine of Pons of Saint-Germier/of Saint-Germier [Dias, uxor vel concubina Pontii de Sancto Germerio/Dias de Sancto Germerio], H, <63v>, <64v>, <65r> n. 7, <67r>, <69r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
481,Dominic,,Dominic,Dominic,,,,,,,,,,,,,,m,,,no,OP,subprior of Prouille,prior,churchperson,,first word,,,,,,,,,,"Dominic, OP, subprior of Prouille, 84",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
482,Dominic,Dominicus,Dominic,Dominic,,,,,,,,,,,,,,m,m,latin_guess1,no,,"a valdo (forester?), a valdo (forester?)","forester, forester",production-worker,,first word,,,,,,XXV:292v,,,,"Dominic [Dominicus], a valdo (forester?), 292v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
483,Dominic Guzman,,Dominic Guzman,Dominic,,,,Guzman,,,,,,,,,,m,,,no,,,,,,,,o,,,,,,,,"Dominic Guzman, 36",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
484,Dominic of Dry Elm street,"Dominicus de Ulmeto Sicca, Tholosæ","Dominic of Dry Elm (street), of Toulouse",Dominic,,,,,,of,Dry Elm (street),,,,Toulouse,,,m,m,latin_guess1,no,,,,,,,fugitive,,,,,XXV:299v,,,of Toulouse,"Dominic of Dry Elm (street), of Toulouse [Dominicus de Ulmeto Sicca, Tholosæ], fugitive, 299v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
485,Donat of Montgaillard,Donatus de Montegalhardo,Donat of Montgaillard,Donat,,,,,,of,Montgaillard,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,"XXV:312v, XXV:313r, XXV:317v, XXVI:55r",,,,"Donat of Montgaillard [Donatus de Montegalhardo], 312v–313r, 317v, 55r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
486,Durand Barrau,,Durand Barrau of Montastruc,Durand,,,,Barrau,,of,Montastruc,,,,,,,m,,,no,,,,,,,,,,,,,,,,"Durand Barrau of Montastruc, 39 n. 14",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
487,Durand Barrau,Durandus Barravi de Rabastencs,Durand Barrau of Rabastens,Durand,,,,Barrau,,of,Rabastens,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,"XXV:35v, XXV:36r",,,,"Durand Barrau of Rabastens [Durandus Barravi de Rabastencs], 99; 35v, 36r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
488,Durand Molinier,Durandus Molinerii de Cordua,Durand Molinier of Cordes,Durand,,,,Molinier,,of,Cordes,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,XXV:59r,,,,"Durand Molinier of Cordes [Durandus Molinerii de Cordua], 59r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
489,Durand of Four,Durandus de Furno,Durand of Four,Durand,,,,,,of,Four,,,,,,,m,m,latin_guess1,no,,,,,,,,,,,,XXV:187v,,,,"Durand of Four [Durandus de Furno], 187v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
490,Durand of Rouffiac,Durandus de Rofiac/Rofiaco de Ulmeria,Durand of Rouffiac of Laumière,Durand,,,,,,of,Rouffiac,,,,Laumière,,,m,m,latin_guess1,no,,,,,,,,,,,,"XXV:20r, XXV:23v, XXV:20v, XXV:21r, XXV:21v, XXV:22r, XXV:22v, XXV:23r, XXV:178r, XXV:181r, XXV:181v",,,,"Durand of Rouffiac of Laumière [Durandus de Rofiac/Rofiaco de Ulmeria], 72 n. 19, 75 n. 33; 20r–23v, 178r, 181r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
491,Durand of Teyssières,"Durandus de Taxeriis, de Duroforti","Durand of Teyssières, of Durfort",Durand,,,,,,of,Teyssières,,,,Durfort,,,m,m,latin_guess1,no,,,,,,,,,,,,"XXVI:27r, XXVI:27v",,,of Durfort,"Durand of Teyssières, of Durfort [Durandus de Taxeriis, de Duroforti], 27r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
492,Dyas Andrew,"Dyas, uxor Pontii Andree","Dyas, wife of Pons Andrew",Dyas,,,,Andrew,,,,,,,,,,f,f,gender_role1 (wife),no,,,,,,,,,,,,XXVI:14v,,,,"Dyas, wife of Pons Andrew [Dyas, uxor Pontii Andree], <14v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
493,Elias,Helias,Elias,Elias,,,,,,,,,,,,,,m,,,no,,doctor,"doctor, rector","service-provider, churchperson",100,"{u'doctor': [[100, u'doctor', u'doctor', u'service-provider'], [67, u'doctor', u'lector', u'churchperson'], [67, u'doctor', u'rector', u'churchperson']]}",,,,,,"XXVI:43r, XXVI:44r, XXVI:43v",,,,"Elias [Helias], doctor, <43r–44r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
494,Elias,Elias/Helias,Elias,Elias,,,,,,,,,,,,,,m,,,no,OP,,,churchperson,,,,,,,,"XXV:139v, XXV:151r",,,,"Elias [Elias/Helias], OP, 106 n. 218; 139v, 151r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
495,Elias Coasulilpinas,Helias Coasulilpinas,Elias Coasulilpinas,Elias,,,,Coasulilpinas,,,,,,,,,,m,m,gender_role1(monk),no,,monk of Ardorel,monk,churchperson,,first word,,,,,,XXV:137v,,,,"Elias Coasulilpinas [Helias Coasulilpinas], monk of Ardorel, 137v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
496,Elias Manhan,Elias/Helias Manhan/Manhoni,Elias Manhan,Elias,,,,Manhan,,,,,,,,,,m,,,no,OP,,,churchperson,,,,i,,,,"XXV:149r, XXV:162v, XXV:171v, XXV:172v, XXV:176v, XXV:180v",,,,"Elias Manhan [Elias/Helias Manhan/Manhoni], OP, 106 n. 218, 115; 147v n. 1, 149r, 162v, 171v, 172v, 176v, 180v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
497,Elias One-Foot,Helias Monopede,Elias One-Foot,Elias,,,,One-Foot,,,,,,,,,,m,,,no,,,,,,,,,,,,XXV:31v,,,,"Elias One-Foot [Helias Monopede], 31v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
498,(Englishwoman),mulier anglica,Englishwoman,,,,,,,,,,,,,,,f,,,no,,,,,,,,,,,,XXV:104v,,,,"Englishwoman [mulier anglica], 104v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
499,Ermengardis,Ermengardis,Ermengardis,Ermengardis,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXVI:61r,,,,"Ermengardis [Ermengardis], 61r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
500,Ermengardis,,Ermengardis,Ermengardis,,,,,,,,,,,,,,f,f,en_guess1,no,,,,,,,,,,,,,,,,"Ermengardis, 51r n. 10",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
501,Ermengardis Pagèse,"Ermengardis/Ermengarda, uxor Isarni Pagesii/Ermengardis Pagesia","Ermengardis, wife of Isarn Pagèse",Ermengardis,,,,Pagèse,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:280v, XXV:287v, XXV:288r, XXV:290v, XXV:288v, XXV:289r, XXV:289v, XXV:290r",,,,"Ermengardis, wife of Isarn Pagèse [Ermengardis/Ermengarda, uxor Isarni Pagesii/Ermengardis Pagesia], 72 n. 17, 72 n. 19, 75 n. 33; 280v, 287v, 288r–290v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
502,Ermengardis,"Ermengardis, uxor Pauli","Ermengardis, wife of Paul",Ermengardis,,,,,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:308r, XXV:309r",,,,"Ermengardis, wife of Paul [Ermengardis, uxor Pauli], 308r, 309r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
503,Ermengardis Alexander,"Ermengardis, uxor Pontii Alexandri de Rocavidal","Ermengardis, wife of Pons Alexander of Roquevidal",Ermengardis,,,,Alexander,,of,Roquevidal,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:97r,,,,"Ermengardis, wife of Pons Alexander of Roquevidal [Ermengardis, uxor Pontii Alexandri de Rocavidal], 97r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
504,Ermengardis Mercadier,"Ermengardis, uxor Raymundi Mercatoris","Ermengardis, wife of Raymond Mercadier",Ermengardis,,,,Mercadier,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXVI:13r, XXVI:13v, XXVI:27r, XXVI:33v, XXVI:34r, XXVI:39r, XXVI:39v",,,,"Ermengardis, wife of Raymond Mercadier [Ermengardis, uxor Raymundi Mercatoris], 13r–v, 27r, 33v–34r, 39r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
505,Ermengardis of Péreille,"Ermengarda, uxor Guillelmi de Parelha, de Ravato","Ermengardis, wife of William of Péreille, of Rabat",Ermengardis,,,,,,of,Péreille,,,,Rabat,,,f,ff,en_guess1 gender_role1 (wife),no,,weaver,weaver,craftsman,100,"{u'weaver': [[100, u'weaver', u'weaver', u'craftsman'], [67, u'weaver', u'healer', u'service-provider']]}",fugitive,,,,,"XXV:143v, XXV:144r",,,of Rabat,"Ermengardis, wife of William of Péreille, of Rabat [Ermengarda, uxor Guillelmi de Parelha, de Ravato], weaver, fugitive, 143v–144r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
506,Ermengardis Mercadier,"Ermengardis Arlanda, uxor Pontii Mercaderii de Ruppeforti","Ermengardis Arland, wife of Pons Mercadier of Roquefort",Ermengardis,,,,Mercadier,,of,Roquefort,,,,,,,f,fff,latin_guess1 en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXVI:13v, XXVI:27r, XXVI:37r, XXVI:37v",,,,"Ermengardis Arland, wife of Pons Mercadier of Roquefort [Ermengardis Arlanda, uxor Pontii Mercaderii de Ruppeforti], 13v, 27r, 37r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
507,Ermengardis Faure,Ermengarda/Ermengardis Fabrissa,Ermengardis Faure,Ermengardis,,,,Faure,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,N25 Possibly the same as Ermengardis Martina.,,"XXVI:29r, XXVI:29v",,,,"Ermengardis Faure [Ermengarda/Ermengardis Fabrissa],{N25 Possibly the same as Ermengardis Martina.} <29r–v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
508,Ermengardis Martina,Ermengardis Martin,Ermengardis Martina,Ermengardis,,,,Martina,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,N26 Possibly the same as Ermengardis Faure.,,"XXVI:61r, XXVI:62r",,,,"Ermengardis Martina [Ermengardis Martin],{N26 Possibly the same as Ermengardis Faure.} <61r>, <62r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
509,Ermengardis Melon,Ermengardis Melona,Ermengardis Melon,Ermengardis,,,,Melon,,,,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,,,,,,XXVI:10r,,,,"Ermengardis Melon [Ermengardis Melona], H, <10r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
510,Ermengardis of the Auriacais,Ermengardis de Auriaguezio,Ermengardis of the Auriacais,Ermengardis,,,,,,of,the Auriacais,,,,,,,f,ffff,latin_guess1 en_guess1 gender_role1 (maid) gender_role1 (maidservant),no,,maidservant,maidservant,servant,100,"{u'maidservant': [[100, u'maidservant', u'maidservant', u'servant'], [78, u'maidservant', u'servant', u'servant'], [63, u'maidservant', u'merchant', u'merchant']]}",,,,,,XXV:252v,,,,"Ermengardis of the Auriacais [Ermengardis de Auriaguezio], maidservant, 252v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
511,Ermengaud Lautier,Ermengaudus Lauterii,Ermengaud Lautier,Ermengaud,,,,Lautier,,,,,,,,,,m,m,latin_guess1,no,OP,prior of Castres,"procurator of heresy, professor of laws",churchperson,61,"{u'prior of Castres': [[61, u'prior of Castres', u'procurator of heresy', u'official'], [61, u'prior of Castres', u'professor of laws', u'free profession']]}",,i,,,,"XXV:195v, XXV:274v",,,prior of Castres,"Ermengaud Lautier [Ermengaudus Lauterii], OP, prior of Castres, 107 n. 225; 195v, 274v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
512,Ermengaud of Auvezines,Ermengaudus de Ovezinis/Quesinis de Baure,Ermengaud of Auvezines of Vaure,Ermengaud,,,,,,of,Auvezines,,,,Vaure,,,m,m,latin_guess1,no,,,,,,,,,,,,"XXV:252v, XXV:279r, XXV:280r, XXV:279v",,,,"Ermengaud of Auvezines of Vaure [Ermengaudus de Ovezinis/Quesinis de Baure], 252v, 279r–280r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
513,Ermengaud of Roquemaure,Ermengaudus de Roquamaura,Ermengaud of Roquemaure,Ermengaud,,,,,,of,Roquemaure,,,,,,,m,m,latin_guess1,no,,,,,,,fugitive,,,,,"XXV:182v, XXV:184r, XXV:183r, XXV:183v",,,exile,"Ermengaud of Roquemaure [Ermengaudus de Roquamaura], fugitive, exile, 182v–184r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
514,Ermengaud of Roucayrols,Ermengaudus de Rocairol de Manso de Cabess,Ermengaud of Roucayrols from the mas of Cabès,Ermengaud,,,,,,of,Roucayrols,,,,Cabès,,,m,m,latin_guess1,no,,,,,,,,,,,,XXV:186r,,,,"Ermengaud of Roucayrols from the mas of Cabès [Ermengaudus de Rocairol de Manso de Cabess], 186r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
515,Ermengaud of Le Vintrou,Ermengardus de Vintro,Ermengaud of Le Vintrou,Ermengaud,,,,,,of,Le Vintrou,,,,,,,m,m,latin_guess1,no,,knight,knight,knight/noble,100,"{u'knight': [[100, u'knight', u'knight', u'knight/noble']]}",,,,,,"XXV:172r, XXV:172v",,,,"Ermengaud of Le Vintrou [Ermengardus de Vintro], knight, 172r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
516,Ermesendis,,Ermesendis,Ermesendis,,,,,,,,,,,,,,f,f,en_guess1,no,,,,,,,,,,,,,,,,"Ermesendis, 50r n. 2",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
517,Ermesendis,Ermesendis,Ermesendis,Ermesendis,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:253v, XXV:254r",,,,"Ermesendis [Ermesendis], 253v–254r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
518,Ermesendis Fournier,"Ermesendis, uxor Bernardi Furnerii de Berrelas","Ermesendis, wife of Bernard Fournier of Barelles",Ermesendis,,,,Fournier,,of,Barelles,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:317r,,,,"Ermesendis, wife of Bernard Fournier of Barelles [Ermesendis, uxor Bernardi Furnerii de Berrelas], 317r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
519,Ermesendis Gros,"Ermesendis, uxor Stephani Grossi de Monte Mauro","Ermesendis, wife of Stephen Gros of Montmaur",Ermesendis,,,,Gros,,of,Montmaur,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:307r,,,,"Ermesendis, wife of Stephen Gros of Montmaur [Ermesendis, uxor Stephani Grossi de Monte Mauro], 307r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
